;The Min-Max Program;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Copyright 2025 by Jeff Nippard. All rights reserved. ;;;;;;;;;;;;;;
;"IMPORTANT PROGRAM NOTES (PLEASE READ BEFORE STARTING!)

● Due to the lower volume in this program, it's essential that you approach each set with focused intent and high effort.

● Nearly every set in this program should be taken to failure, or 1 rep shy of failure. The only exceptions are in Week 1 (an intro week) and Week 7 (a deload week), where you won't train quite as hard.

● In the program, I use Reps In Reserve (RIR) to indicate which sets you should take to failure. An RIR of 0 means you hit failure (zero reps in the tank). An RIR of 1 means you stop 1 rep shy of failure.

● For heavy compound lifts like the Squat, Barbell Incline Press, Leg Press, and Smith Machine Lunge, an RIR of 0 means you couldn’t complete another rep, but for safety you don't need to actually attempt and fail the final rep unless you want to.

● For all other exercises, an RIR of 0 means that you should actually go for another rep, even if you think you can't get it. On these exercises, go until you physically can't complete the rep and literally fail.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;WARM-UP PROTOCOL;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;"Start each workout with about 5 minutes of light cardio to raise your core body temperature.
Each exercise includes the recommended number of exercise-specific warm-up sets, which should be light and not fatiguing.

For a more detailed breakdown of warm-up protocols, refer to the page 13 of the PDF document.";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Block 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Intro Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Week 1;Exercise;Last-Set Intensity Technique;Warm-up Sets;Working Sets;Rep Range;Tracking Load and Reps;;;;Failure?;;Rest;Substitution Option 1;Substitution Option 2;Notes;;;;;;;;;;;;;;
;;;;;;;Set 1;;Set 2;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Load;Reps;Load;Reps;RIR (Set 1);RIR (Set 2);;;;;;;;;;;;;;;;;;
;Upper 1;Barbell Incline Press;N/A;2-4;2;6-8;;;;;2;1;3-5 min;Smith Machine Incline Press;DB Incline Press;A 30° or 45° bench will work here. Pause for 1 second at the bottom of each rep while maintaining tension on the pecs.;;;;;;;;;;;;;;
;;Pec Deck;N/A;1-2;2;6-8;;;;;1;0;1-2 min;DB Flye;Cable Flye;Pause for 1 second at the bottom of each rep while maintaining tension on the pecs;;;;;;;;;;;;;;
;;Incline DB Y-Raise;N/A;0-1;2;8-10;;;;;1;0;1-2 min;Cable Y-Raise;Machine Lateral Raise;Use a 30° incline bench (back against the bench) and lift the weight up and out in a Y shape.;;;;;;;;;;;;;;
